Rodada: 1, Jogador: 0, carta da vez: 03♠, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 63 cartas.
Rodada: 2, Jogador: 1, carta da vez: 07♠, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 62 cartas.
Rodada: 3, Jogador: 1, carta da vez: 07♠, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 61 cartas.
Rodada: 4, Jogador: 2, carta da vez: 11♣, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 60 cartas.
Rodada: 5, Jogador: 3, carta da vez: 12♣, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 59 cartas.
Rodada: 6, Jogador: 3, carta da vez: 03♦, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 58 cartas.
Rodada: 7, Jogador: 4, carta da vez: 13♥, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 57 cartas.
Rodada: 8, Jogador: 4, carta da vez: 13♦, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 56 cartas.
Rodada: 9, Jogador: 0, carta da vez: 05♠, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 55 cartas.
Rodada: 10, Jogador: 1, carta da vez: 01♠, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 54 cartas.
Rodada: 11, Jogador: 1, carta da vez: 05♣, maiores montes Jogador: jogador 0 com total de 2 cartas - Jogador: jogador 1 com total de 2 cartas - ,  baralho tem 53 cartas.
Rodada: 12, Jogador: 1, carta da vez: 01♥, maiores montes Jogador: jogador 0 com total de 2 cartas - Jogador: jogador 1 com total de 3 cartas - ,  baralho tem 52 cartas.
Rodada: 13, Jogador: 2, carta da vez: 10♣, maiores montes Jogador: jogador 0 com total de 2 cartas - Jogador: jogador 1 com total de 3 cartas - ,  baralho tem 51 cartas.
