Rodada: 1, Jogador: 0, carta da vez: 03♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 50 cartas.
Rodada: 2, Jogador: 1, carta da vez: 07♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 49 cartas.
Rodada: 3, Jogador: 0, carta da vez: 02♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 48 cartas.
Rodada: 4, Jogador: 1, carta da vez: 06♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 47 cartas.
Rodada: 5, Jogador: 0, carta da vez: 09♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 46 cartas.
Rodada: 6, Jogador: 1, carta da vez: 10♦, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 45 cartas.
Rodada: 7, Jogador: 0, carta da vez: 04♥, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 44 cartas.
Rodada: 8, Jogador: 0, carta da vez: 06♠, maiores montes Jogador: jogador 0 - Total de cartas: 3 - ,  baralho tem 43 cartas.
Rodada: 9, Jogador: 0, carta da vez: 03♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - ,  baralho tem 42 cartas.
Rodada: 10, Jogador: 0, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 41 cartas.
Rodada: 11, Jogador: 1, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 40 cartas.
Rodada: 12, Jogador: 0, carta da vez: 08♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 39 cartas.
Rodada: 13, Jogador: 1, carta da vez: 12♠, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 38 cartas.
Rodada: 14, Jogador: 1, carta da vez: 12♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 37 cartas.
